"node","community_16","community_4","degree"
1,1,1,18
2,1,1,18
3,1,1,19
4,1,1,17
5,1,1,21
6,1,1,19
7,1,1,19
8,1,1,22
9,1,1,18
10,1,1,18
11,1,1,19
12,1,1,17
13,1,1,17
14,1,1,16
15,1,1,18
16,1,1,18
17,2,1,17
18,2,1,16
19,2,1,17
20,2,1,21
21,2,1,17
22,2,1,17
23,2,1,20
24,2,1,18
25,2,1,18
26,2,1,19
27,2,1,17
28,2,1,18
29,2,1,20
30,2,1,19
31,2,1,19
32,2,1,16
33,3,1,19
34,3,1,19
35,3,1,16
36,3,1,16
37,3,1,16
38,3,1,21
39,3,1,20
40,3,1,20
41,3,1,19
42,3,1,18
43,3,1,18
44,3,1,17
45,3,1,18
46,3,1,17
47,3,1,19
48,3,1,17
49,4,1,22
50,4,1,18
51,4,1,16
52,4,1,18
53,4,1,17
54,4,1,22
55,4,1,20
56,4,1,15
57,4,1,16
58,4,1,18
59,4,1,22
60,4,1,20
61,4,1,16
62,4,1,17
63,4,1,18
64,4,1,17
65,5,2,17
66,5,2,19
67,5,2,22
68,5,2,16
69,5,2,19
70,5,2,17
71,5,2,16
72,5,2,18
73,5,2,18
74,5,2,18
75,5,2,15
76,5,2,21
77,5,2,19
78,5,2,17
79,5,2,18
80,5,2,19
81,6,2,18
82,6,2,19
83,6,2,22
84,6,2,19
85,6,2,15
86,6,2,20
87,6,2,18
88,6,2,17
89,6,2,17
90,6,2,19
91,6,2,16
92,6,2,18
93,6,2,17
94,6,2,20
95,6,2,21
96,6,2,17
97,7,2,17
98,7,2,18
99,7,2,19
100,7,2,16
101,7,2,17
102,7,2,18
103,7,2,17
104,7,2,17
105,7,2,17
106,7,2,18
107,7,2,17
108,7,2,19
109,7,2,20
110,7,2,17
111,7,2,21
112,7,2,19
113,8,2,20
114,8,2,17
115,8,2,17
116,8,2,19
117,8,2,16
118,8,2,21
119,8,2,18
120,8,2,19
121,8,2,18
122,8,2,19
123,8,2,18
124,8,2,19
125,8,2,17
126,8,2,17
127,8,2,18
128,8,2,15
129,9,3,15
130,9,3,19
131,9,3,16
132,9,3,17
133,9,3,19
134,9,3,22
135,9,3,18
136,9,3,21
137,9,3,16
138,9,3,17
139,9,3,17
140,9,3,17
141,9,3,19
142,9,3,18
143,9,3,17
144,9,3,16
145,10,3,17
146,10,3,18
147,10,3,18
148,10,3,18
149,10,3,18
150,10,3,17
151,10,3,16
152,10,3,17
153,10,3,15
154,10,3,15
155,10,3,19
156,10,3,19
157,10,3,19
158,10,3,17
159,10,3,19
160,10,3,18
161,11,3,20
162,11,3,19
163,11,3,17
164,11,3,19
165,11,3,17
166,11,3,16
167,11,3,16
168,11,3,17
169,11,3,18
170,11,3,19
171,11,3,15
172,11,3,16
173,11,3,16
174,11,3,19
175,11,3,22
176,11,3,16
177,12,3,19
178,12,3,17
179,12,3,21
180,12,3,18
181,12,3,20
182,12,3,18
183,12,3,17
184,12,3,15
185,12,3,20
186,12,3,18
187,12,3,17
188,12,3,17
189,12,3,19
190,12,3,16
191,12,3,19
192,12,3,18
193,13,4,17
194,13,4,17
195,13,4,18
196,13,4,19
197,13,4,22
198,13,4,16
199,13,4,19
200,13,4,17
201,13,4,17
202,13,4,19
203,13,4,16
204,13,4,17
205,13,4,16
206,13,4,18
207,13,4,22
208,13,4,17
209,14,4,17
210,14,4,16
211,14,4,18
212,14,4,18
213,14,4,21
214,14,4,21
215,14,4,20
216,14,4,18
217,14,4,16
218,14,4,17
219,14,4,17
220,14,4,21
221,14,4,16
222,14,4,17
223,14,4,18
224,14,4,20
225,15,4,20
226,15,4,21
227,15,4,15
228,15,4,20
229,15,4,17
230,15,4,18
231,15,4,18
232,15,4,16
233,15,4,16
234,15,4,18
235,15,4,15
236,15,4,18
237,15,4,19
238,15,4,17
239,15,4,17
240,15,4,20
241,16,4,17
242,16,4,15
243,16,4,16
244,16,4,18
245,16,4,17
246,16,4,20
247,16,4,16
248,16,4,19
249,16,4,18
250,16,4,21
251,16,4,19
252,16,4,19
253,16,4,17
254,16,4,17
255,16,4,17
256,16,4,18
